item,stim_classname,directness,condition,context,target,subject1,subject2
0,respecting_insulting,indirect,congruent,Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice is not interrupting Bob.,Alice,Bob
0,respecting_insulting,indirect,congruent,Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice tells Bob that Bob is the dumbest person that Alice has ever met.,Alice,Bob
0,respecting_insulting,indirect,incongruent,Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice tells Bob that Bob is the dumbest person that Alice has ever met.,Alice,Bob
0,respecting_insulting,indirect,incongruent,Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice is not interrupting Bob.,Alice,Bob
1,respecting_insulting,indirect,congruent,Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice is not interrupting Charlie.,Alice,Charlie
1,respecting_insulting,indirect,congruent,Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice tells Charlie that Charlie is the dumbest person that Alice has ever met.,Alice,Charlie
1,respecting_insulting,indirect,incongruent,Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice tells Charlie that Charlie is the dumbest person that Alice has ever met.,Alice,Charlie
1,respecting_insulting,indirect,incongruent,Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice is not interrupting Charlie.,Alice,Charlie
2,respecting_insulting,indirect,congruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice is not interrupting Barack Obama.,Alice,Barack Obama
2,respecting_insulting,indirect,congruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice tells Barack Obama that Barack Obama is the dumbest person that Alice has ever met.,Alice,Barack Obama
2,respecting_insulting,indirect,incongruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice tells Barack Obama that Barack Obama is the dumbest person that Alice has ever met.,Alice,Barack Obama
2,respecting_insulting,indirect,incongruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice is not interrupting Barack Obama.,Alice,Barack Obama
3,respecting_insulting,indirect,congruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice is not interrupting Donald Trump.,Alice,Donald Trump
3,respecting_insulting,indirect,congruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice tells Donald Trump that Donald Trump is the dumbest person that Alice has ever met.,Alice,Donald Trump
3,respecting_insulting,indirect,incongruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice tells Donald Trump that Donald Trump is the dumbest person that Alice has ever met.,Alice,Donald Trump
3,respecting_insulting,indirect,incongruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice is not interrupting Donald Trump.,Alice,Donald Trump
4,respecting_insulting,indirect,congruent,Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice is not interrupting Mom.,Alice,Mom
4,respecting_insulting,indirect,congruent,Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice tells Mom that Mom is the dumbest person that Alice has ever met.,Alice,Mom
4,respecting_insulting,indirect,incongruent,Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice tells Mom that Mom is the dumbest person that Alice has ever met.,Alice,Mom
4,respecting_insulting,indirect,incongruent,Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice is not interrupting Mom.,Alice,Mom
5,respecting_insulting,indirect,congruent,Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice is not interrupting Dad.,Alice,Dad
5,respecting_insulting,indirect,congruent,Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice tells Dad that Dad is the dumbest person that Alice has ever met.,Alice,Dad
5,respecting_insulting,indirect,incongruent,Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice tells Dad that Dad is the dumbest person that Alice has ever met.,Alice,Dad
5,respecting_insulting,indirect,incongruent,Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice is not interrupting Dad.,Alice,Dad
6,respecting_insulting,indirect,congruent,Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob is not interrupting Charlie.,Bob,Charlie
6,respecting_insulting,indirect,congruent,Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob tells Charlie that Charlie is the dumbest person that Bob has ever met.,Bob,Charlie
6,respecting_insulting,indirect,incongruent,Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob tells Charlie that Charlie is the dumbest person that Bob has ever met.,Bob,Charlie
6,respecting_insulting,indirect,incongruent,Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob is not interrupting Charlie.,Bob,Charlie
7,respecting_insulting,indirect,congruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob is not interrupting Barack Obama.,Bob,Barack Obama
7,respecting_insulting,indirect,congruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob tells Barack Obama that Barack Obama is the dumbest person that Bob has ever met.,Bob,Barack Obama
7,respecting_insulting,indirect,incongruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob tells Barack Obama that Barack Obama is the dumbest person that Bob has ever met.,Bob,Barack Obama
7,respecting_insulting,indirect,incongruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob is not interrupting Barack Obama.,Bob,Barack Obama
8,respecting_insulting,indirect,congruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob is not interrupting Donald Trump.,Bob,Donald Trump
8,respecting_insulting,indirect,congruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob tells Donald Trump that Donald Trump is the dumbest person that Bob has ever met.,Bob,Donald Trump
8,respecting_insulting,indirect,incongruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob tells Donald Trump that Donald Trump is the dumbest person that Bob has ever met.,Bob,Donald Trump
8,respecting_insulting,indirect,incongruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob is not interrupting Donald Trump.,Bob,Donald Trump
9,respecting_insulting,indirect,congruent,Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob is not interrupting Mom.,Bob,Mom
9,respecting_insulting,indirect,congruent,Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob tells Mom that Mom is the dumbest person that Bob has ever met.,Bob,Mom
9,respecting_insulting,indirect,incongruent,Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob tells Mom that Mom is the dumbest person that Bob has ever met.,Bob,Mom
9,respecting_insulting,indirect,incongruent,Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob is not interrupting Mom.,Bob,Mom
10,respecting_insulting,indirect,congruent,Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob is not interrupting Dad.,Bob,Dad
10,respecting_insulting,indirect,congruent,Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob tells Dad that Dad is the dumbest person that Bob has ever met.,Bob,Dad
10,respecting_insulting,indirect,incongruent,Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob tells Dad that Dad is the dumbest person that Bob has ever met.,Bob,Dad
10,respecting_insulting,indirect,incongruent,Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob is not interrupting Dad.,Bob,Dad
11,respecting_insulting,indirect,congruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie is not interrupting Barack Obama.,Charlie,Barack Obama
11,respecting_insulting,indirect,congruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie tells Barack Obama that Barack Obama is the dumbest person that Charlie has ever met.,Charlie,Barack Obama
11,respecting_insulting,indirect,incongruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is respecting Barack Obama.,Charlie tells Barack Obama that Barack Obama is the dumbest person that Charlie has ever met.,Charlie,Barack Obama
11,respecting_insulting,indirect,incongruent,Charlie and Barack Obama are sitting at a table having a conversation. Charlie is insulting Barack Obama.,Charlie is not interrupting Barack Obama.,Charlie,Barack Obama
12,respecting_insulting,indirect,congruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie is not interrupting Donald Trump.,Charlie,Donald Trump
12,respecting_insulting,indirect,congruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie tells Donald Trump that Donald Trump is the dumbest person that Charlie has ever met.,Charlie,Donald Trump
12,respecting_insulting,indirect,incongruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is respecting Donald Trump.,Charlie tells Donald Trump that Donald Trump is the dumbest person that Charlie has ever met.,Charlie,Donald Trump
12,respecting_insulting,indirect,incongruent,Charlie and Donald Trump are sitting at a table having a conversation. Charlie is insulting Donald Trump.,Charlie is not interrupting Donald Trump.,Charlie,Donald Trump
13,respecting_insulting,indirect,congruent,Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie is not interrupting Mom.,Charlie,Mom
13,respecting_insulting,indirect,congruent,Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie tells Mom that Mom is the dumbest person that Charlie has ever met.,Charlie,Mom
13,respecting_insulting,indirect,incongruent,Charlie and Mom are sitting at a table having a conversation. Charlie is respecting Mom.,Charlie tells Mom that Mom is the dumbest person that Charlie has ever met.,Charlie,Mom
13,respecting_insulting,indirect,incongruent,Charlie and Mom are sitting at a table having a conversation. Charlie is insulting Mom.,Charlie is not interrupting Mom.,Charlie,Mom
14,respecting_insulting,indirect,congruent,Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie is not interrupting Dad.,Charlie,Dad
14,respecting_insulting,indirect,congruent,Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie tells Dad that Dad is the dumbest person that Charlie has ever met.,Charlie,Dad
14,respecting_insulting,indirect,incongruent,Charlie and Dad are sitting at a table having a conversation. Charlie is respecting Dad.,Charlie tells Dad that Dad is the dumbest person that Charlie has ever met.,Charlie,Dad
14,respecting_insulting,indirect,incongruent,Charlie and Dad are sitting at a table having a conversation. Charlie is insulting Dad.,Charlie is not interrupting Dad.,Charlie,Dad
15,respecting_insulting,indirect,congruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama is not interrupting Donald Trump.,Barack Obama,Donald Trump
15,respecting_insulting,indirect,congruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama tells Donald Trump that Donald Trump is the dumbest person that Barack Obama has ever met.,Barack Obama,Donald Trump
15,respecting_insulting,indirect,incongruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is respecting Donald Trump.,Barack Obama tells Donald Trump that Donald Trump is the dumbest person that Barack Obama has ever met.,Barack Obama,Donald Trump
15,respecting_insulting,indirect,incongruent,Barack Obama and Donald Trump are sitting at a table having a conversation. Barack Obama is insulting Donald Trump.,Barack Obama is not interrupting Donald Trump.,Barack Obama,Donald Trump
16,respecting_insulting,indirect,congruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama is not interrupting Mom.,Barack Obama,Mom
16,respecting_insulting,indirect,congruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama tells Mom that Mom is the dumbest person that Barack Obama has ever met.,Barack Obama,Mom
16,respecting_insulting,indirect,incongruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is respecting Mom.,Barack Obama tells Mom that Mom is the dumbest person that Barack Obama has ever met.,Barack Obama,Mom
16,respecting_insulting,indirect,incongruent,Barack Obama and Mom are sitting at a table having a conversation. Barack Obama is insulting Mom.,Barack Obama is not interrupting Mom.,Barack Obama,Mom
17,respecting_insulting,indirect,congruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama is not interrupting Dad.,Barack Obama,Dad
17,respecting_insulting,indirect,congruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama tells Dad that Dad is the dumbest person that Barack Obama has ever met.,Barack Obama,Dad
17,respecting_insulting,indirect,incongruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is respecting Dad.,Barack Obama tells Dad that Dad is the dumbest person that Barack Obama has ever met.,Barack Obama,Dad
17,respecting_insulting,indirect,incongruent,Barack Obama and Dad are sitting at a table having a conversation. Barack Obama is insulting Dad.,Barack Obama is not interrupting Dad.,Barack Obama,Dad
18,respecting_insulting,indirect,congruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump is not interrupting Mom.,Donald Trump,Mom
18,respecting_insulting,indirect,congruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump tells Mom that Mom is the dumbest person that Donald Trump has ever met.,Donald Trump,Mom
18,respecting_insulting,indirect,incongruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is respecting Mom.,Donald Trump tells Mom that Mom is the dumbest person that Donald Trump has ever met.,Donald Trump,Mom
18,respecting_insulting,indirect,incongruent,Donald Trump and Mom are sitting at a table having a conversation. Donald Trump is insulting Mom.,Donald Trump is not interrupting Mom.,Donald Trump,Mom
19,respecting_insulting,indirect,congruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump is not interrupting Dad.,Donald Trump,Dad
19,respecting_insulting,indirect,congruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump tells Dad that Dad is the dumbest person that Donald Trump has ever met.,Donald Trump,Dad
19,respecting_insulting,indirect,incongruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is respecting Dad.,Donald Trump tells Dad that Dad is the dumbest person that Donald Trump has ever met.,Donald Trump,Dad
19,respecting_insulting,indirect,incongruent,Donald Trump and Dad are sitting at a table having a conversation. Donald Trump is insulting Dad.,Donald Trump is not interrupting Dad.,Donald Trump,Dad
20,respecting_insulting,indirect,congruent,Mom and Dad are sitting at a table having a conversation. Mom is respecting Dad.,Mom is not interrupting Dad.,Mom,Dad
20,respecting_insulting,indirect,congruent,Mom and Dad are sitting at a table having a conversation. Mom is insulting Dad.,Mom tells Dad that Dad is the dumbest person that Mom has ever met.,Mom,Dad
20,respecting_insulting,indirect,incongruent,Mom and Dad are sitting at a table having a conversation. Mom is respecting Dad.,Mom tells Dad that Dad is the dumbest person that Mom has ever met.,Mom,Dad
20,respecting_insulting,indirect,incongruent,Mom and Dad are sitting at a table having a conversation. Mom is insulting Dad.,Mom is not interrupting Dad.,Mom,Dad
21,respecting_insulting,direct,congruent,Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice is being considerate towards Bob.,Alice,Bob
21,respecting_insulting,direct,congruent,Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice is saying hurtful things about Bob.,Alice,Bob
21,respecting_insulting,direct,incongruent,Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice is saying hurtful things about Bob.,Alice,Bob
21,respecting_insulting,direct,incongruent,Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice is being considerate towards Bob.,Alice,Bob
22,respecting_insulting,direct,congruent,Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice is being considerate towards Charlie.,Alice,Charlie
22,respecting_insulting,direct,congruent,Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice is saying hurtful things about Charlie.,Alice,Charlie
22,respecting_insulting,direct,incongruent,Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice is saying hurtful things about Charlie.,Alice,Charlie
22,respecting_insulting,direct,incongruent,Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice is being considerate towards Charlie.,Alice,Charlie
23,respecting_insulting,direct,congruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice is being considerate towards Barack Obama.,Alice,Barack Obama
23,respecting_insulting,direct,congruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice is saying hurtful things about Barack Obama.,Alice,Barack Obama
23,respecting_insulting,direct,incongruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice is saying hurtful things about Barack Obama.,Alice,Barack Obama
23,respecting_insulting,direct,incongruent,Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice is being considerate towards Barack Obama.,Alice,Barack Obama
24,respecting_insulting,direct,congruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice is being considerate towards Donald Trump.,Alice,Donald Trump
24,respecting_insulting,direct,congruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice is saying hurtful things about Donald Trump.,Alice,Donald Trump
24,respecting_insulting,direct,incongruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice is saying hurtful things about Donald Trump.,Alice,Donald Trump
24,respecting_insulting,direct,incongruent,Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice is being considerate towards Donald Trump.,Alice,Donald Trump
25,respecting_insulting,direct,congruent,Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice is being considerate towards Mom.,Alice,Mom
25,respecting_insulting,direct,congruent,Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice is saying hurtful things about Mom.,Alice,Mom
25,respecting_insulting,direct,incongruent,Alice and Mom are sitting at a table having a conversation. Alice is respecting Mom.,Alice is saying hurtful things about Mom.,Alice,Mom
25,respecting_insulting,direct,incongruent,Alice and Mom are sitting at a table having a conversation. Alice is insulting Mom.,Alice is being considerate towards Mom.,Alice,Mom
26,respecting_insulting,direct,congruent,Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice is being considerate towards Dad.,Alice,Dad
26,respecting_insulting,direct,congruent,Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice is saying hurtful things about Dad.,Alice,Dad
26,respecting_insulting,direct,incongruent,Alice and Dad are sitting at a table having a conversation. Alice is respecting Dad.,Alice is saying hurtful things about Dad.,Alice,Dad
26,respecting_insulting,direct,incongruent,Alice and Dad are sitting at a table having a conversation. Alice is insulting Dad.,Alice is being considerate towards Dad.,Alice,Dad
27,respecting_insulting,direct,congruent,Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob is being considerate towards Charlie.,Bob,Charlie
27,respecting_insulting,direct,congruent,Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob is saying hurtful things about Charlie.,Bob,Charlie
27,respecting_insulting,direct,incongruent,Bob and Charlie are sitting at a table having a conversation. Bob is respecting Charlie.,Bob is saying hurtful things about Charlie.,Bob,Charlie
27,respecting_insulting,direct,incongruent,Bob and Charlie are sitting at a table having a conversation. Bob is insulting Charlie.,Bob is being considerate towards Charlie.,Bob,Charlie
28,respecting_insulting,direct,congruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob is being considerate towards Barack Obama.,Bob,Barack Obama
28,respecting_insulting,direct,congruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob is saying hurtful things about Barack Obama.,Bob,Barack Obama
28,respecting_insulting,direct,incongruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is respecting Barack Obama.,Bob is saying hurtful things about Barack Obama.,Bob,Barack Obama
28,respecting_insulting,direct,incongruent,Bob and Barack Obama are sitting at a table having a conversation. Bob is insulting Barack Obama.,Bob is being considerate towards Barack Obama.,Bob,Barack Obama
29,respecting_insulting,direct,congruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob is being considerate towards Donald Trump.,Bob,Donald Trump
29,respecting_insulting,direct,congruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob is saying hurtful things about Donald Trump.,Bob,Donald Trump
29,respecting_insulting,direct,incongruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is respecting Donald Trump.,Bob is saying hurtful things about Donald Trump.,Bob,Donald Trump
29,respecting_insulting,direct,incongruent,Bob and Donald Trump are sitting at a table having a conversation. Bob is insulting Donald Trump.,Bob is being considerate towards Donald Trump.,Bob,Donald Trump
30,respecting_insulting,direct,congruent,Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob is being considerate towards Mom.,Bob,Mom
30,respecting_insulting,direct,congruent,Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob is saying hurtful things about Mom.,Bob,Mom
30,respecting_insulting,direct,incongruent,Bob and Mom are sitting at a table having a conversation. Bob is respecting Mom.,Bob is saying hurtful things about Mom.,Bob,Mom
30,respecting_insulting,direct,incongruent,Bob and Mom are sitting at a table having a conversation. Bob is insulting Mom.,Bob is being considerate towards Mom.,Bob,Mom
31,respecting_insulting,direct,congruent,Bob and Dad are sitting at a table having a conversation. Bob is respecting Dad.,Bob is being considerate towards Dad.,Bob,Dad
31,respecting_insulting,direct,congruent,Bob and Dad are sitting at a table having a conversation. Bob is insulting Dad.,Bob is saying hurtful things about Dad.,Bob,Dad
