context,target,condition,subject1,subject2,directness,item,stim_classname
Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice is not interrupting Bob.,congruent,Alice,Bob,indirect,0,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice tells Bob that Bob is the dumbest person that Alice has ever met.,congruent,Alice,Bob,indirect,0,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is respecting Bob.,Alice tells Bob that Bob is the dumbest person that Alice has ever met.,incongruent,Alice,Bob,indirect,0,respecting_insulting
Alice and Bob are sitting at a table having a conversation. Alice is insulting Bob.,Alice is not interrupting Bob.,incongruent,Alice,Bob,indirect,0,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice is not interrupting Charlie.,congruent,Alice,Charlie,indirect,1,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice tells Charlie that Charlie is the dumbest person that Alice has ever met.,congruent,Alice,Charlie,indirect,1,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is respecting Charlie.,Alice tells Charlie that Charlie is the dumbest person that Alice has ever met.,incongruent,Alice,Charlie,indirect,1,respecting_insulting
Alice and Charlie are sitting at a table having a conversation. Alice is insulting Charlie.,Alice is not interrupting Charlie.,incongruent,Alice,Charlie,indirect,1,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice is not interrupting Barack Obama.,congruent,Alice,Barack Obama,indirect,2,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice tells Barack Obama that Barack Obama is the dumbest person that Alice has ever met.,congruent,Alice,Barack Obama,indirect,2,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is respecting Barack Obama.,Alice tells Barack Obama that Barack Obama is the dumbest person that Alice has ever met.,incongruent,Alice,Barack Obama,indirect,2,respecting_insulting
Alice and Barack Obama are sitting at a table having a conversation. Alice is insulting Barack Obama.,Alice is not interrupting Barack Obama.,incongruent,Alice,Barack Obama,indirect,2,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice is not interrupting Donald Trump.,congruent,Alice,Donald Trump,indirect,3,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is insulting Donald Trump.,Alice tells Donald Trump that Donald Trump is the dumbest person that Alice has ever met.,congruent,Alice,Donald Trump,indirect,3,respecting_insulting
Alice and Donald Trump are sitting at a table having a conversation. Alice is respecting Donald Trump.,Alice tells Donald Trump that Donald Trump is the dumbest person that Alice has ever met.,incongruent,Alice,Donald Trump,indirect,3,respecting_insulting
