item,stim_classname,directness,condition,context,target,subject1,subject2,object1
0,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Bob in this game.,Alice is removing the obstacles from Bob's way.,Alice,Bob,obstacles
0,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Bob in this game.,Alice is placing the obstacles in Bob’s way.,Alice,Bob,obstacles
0,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Bob in this game.,Alice is placing the obstacles in Bob’s way.,Alice,Bob,obstacles
0,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Bob in this game.,Alice is removing the obstacles from Bob's way.,Alice,Bob,obstacles
1,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding objects. Alice is helping Bob in this game.,Alice is removing the objects from Bob's way.,Alice,Bob,objects
1,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Bob in this game.,Alice is placing the objects in Bob’s way.,Alice,Bob,objects
1,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding objects. Alice is helping Bob in this game.,Alice is placing the objects in Bob’s way.,Alice,Bob,objects
1,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Bob in this game.,Alice is removing the objects from Bob's way.,Alice,Bob,objects
2,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Bob in this game.,Alice is removing the blocks from Bob's way.,Alice,Bob,blocks
2,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Bob in this game.,Alice is placing the blocks in Bob’s way.,Alice,Bob,blocks
2,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blocks. Alice is helping Bob in this game.,Alice is placing the blocks in Bob’s way.,Alice,Bob,blocks
2,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blocks. Alice is hindering Bob in this game.,Alice is removing the blocks from Bob's way.,Alice,Bob,blocks
3,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Bob in this game.,Alice is removing the cubes from Bob's way.,Alice,Bob,cubes
3,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Bob in this game.,Alice is placing the cubes in Bob’s way.,Alice,Bob,cubes
3,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding cubes. Alice is helping Bob in this game.,Alice is placing the cubes in Bob’s way.,Alice,Bob,cubes
3,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding cubes. Alice is hindering Bob in this game.,Alice is removing the cubes from Bob's way.,Alice,Bob,cubes
4,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Bob in this game.,Alice is removing the spikes from Bob's way.,Alice,Bob,spikes
4,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Bob in this game.,Alice is placing the spikes in Bob’s way.,Alice,Bob,spikes
4,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding spikes. Alice is helping Bob in this game.,Alice is placing the spikes in Bob’s way.,Alice,Bob,spikes
4,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding spikes. Alice is hindering Bob in this game.,Alice is removing the spikes from Bob's way.,Alice,Bob,spikes
5,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Bob in this game.,Alice is removing the daxes from Bob's way.,Alice,Bob,daxes
5,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Bob in this game.,Alice is placing the daxes in Bob’s way.,Alice,Bob,daxes
5,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding daxes. Alice is helping Bob in this game.,Alice is placing the daxes in Bob’s way.,Alice,Bob,daxes
5,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding daxes. Alice is hindering Bob in this game.,Alice is removing the daxes from Bob's way.,Alice,Bob,daxes
6,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Bob in this game.,Alice is removing the blickets from Bob's way.,Alice,Bob,blickets
6,helping_hindering,indirect,congruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Bob in this game.,Alice is placing the blickets in Bob’s way.,Alice,Bob,blickets
6,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blickets. Alice is helping Bob in this game.,Alice is placing the blickets in Bob’s way.,Alice,Bob,blickets
6,helping_hindering,indirect,incongruent,Alice and Bob are playing a game which requires them to score a goal while avoiding blickets. Alice is hindering Bob in this game.,Alice is removing the blickets from Bob's way.,Alice,Bob,blickets
7,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Charlie in this game.,Alice is removing the obstacles from Charlie's way.,Alice,Charlie,obstacles
7,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Charlie in this game.,Alice is placing the obstacles in Charlie’s way.,Alice,Charlie,obstacles
7,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding obstacles. Alice is helping Charlie in this game.,Alice is placing the obstacles in Charlie’s way.,Alice,Charlie,obstacles
7,helping_hindering,indirect,incongruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding obstacles. Alice is hindering Charlie in this game.,Alice is removing the obstacles from Charlie's way.,Alice,Charlie,obstacles
8,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding objects. Alice is helping Charlie in this game.,Alice is removing the objects from Charlie's way.,Alice,Charlie,objects
8,helping_hindering,indirect,congruent,Alice and Charlie are playing a game which requires them to score a goal while avoiding objects. Alice is hindering Charlie in this game.,Alice is placing the objects in Charlie’s way.,Alice,Charlie,objects
