item,stim_classname,directness,condition,context,target,subject1,object1,object2,subject2,year
0,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,Alice,an apple,an orange,,
0,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,Alice,an apple,an orange,,
0,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,Alice,an apple,an orange,,
0,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,Alice,an apple,an orange,,
1,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,Alice,an apple,a pineapple,,
1,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,Alice,an apple,a pineapple,,
1,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,Alice,an apple,a pineapple,,
1,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,Alice,an apple,a pineapple,,
2,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,Alice,an apple,a dax,,
2,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,Alice,an apple,a dax,,
2,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,Alice,an apple,a dax,,
2,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,Alice,an apple,a dax,,
3,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,Alice,an apple,a blicket,,
3,value_financial,indirect,congruent,"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,Alice,an apple,a blicket,,
3,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,Alice,an apple,a blicket,,
3,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,Alice,an apple,a blicket,,
4,value_financial,indirect,congruent,"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,Alice,an orange,a pineapple,,
4,value_financial,indirect,congruent,"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,Alice,an orange,a pineapple,,
4,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,Alice,an orange,a pineapple,,
4,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,Alice,an orange,a pineapple,,
5,value_financial,indirect,congruent,"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,Alice,an orange,a dax,,
5,value_financial,indirect,congruent,"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,Alice,an orange,a dax,,
5,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,Alice,an orange,a dax,,
5,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,Alice,an orange,a dax,,
6,value_financial,indirect,congruent,"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,Alice,an orange,a blicket,,
6,value_financial,indirect,congruent,"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,Alice,an orange,a blicket,,
6,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,Alice,an orange,a blicket,,
6,value_financial,indirect,incongruent,"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,Alice,an orange,a blicket,,
7,value_financial,indirect,congruent,"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,Alice,a pineapple,a dax,,
7,value_financial,indirect,congruent,"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,Alice,a pineapple,a dax,,
7,value_financial,indirect,incongruent,"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,Alice,a pineapple,a dax,,
7,value_financial,indirect,incongruent,"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,Alice,a pineapple,a dax,,
8,value_financial,indirect,congruent,"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,Alice,a pineapple,a blicket,,
8,value_financial,indirect,congruent,"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,Alice,a pineapple,a blicket,,
8,value_financial,indirect,incongruent,"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,Alice,a pineapple,a blicket,,
8,value_financial,indirect,incongruent,"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,Alice,a pineapple,a blicket,,
9,value_financial,indirect,congruent,"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,Alice,a dax,a blicket,,
9,value_financial,indirect,congruent,"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,Alice,a dax,a blicket,,
9,value_financial,indirect,incongruent,"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,Alice,a dax,a blicket,,
9,value_financial,indirect,incongruent,"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,Alice,a dax,a blicket,,
10,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,Bob,an apple,an orange,,
10,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,Bob,an apple,an orange,,
10,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,Bob,an apple,an orange,,
10,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,Bob,an apple,an orange,,
11,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,Bob,an apple,a pineapple,,
11,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,Bob,an apple,a pineapple,,
11,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,Bob,an apple,a pineapple,,
11,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,Bob,an apple,a pineapple,,
12,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,Bob,an apple,a dax,,
12,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,Bob,an apple,a dax,,
12,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,Bob,an apple,a dax,,
12,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,Bob,an apple,a dax,,
13,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,Bob,an apple,a blicket,,
13,value_financial,indirect,congruent,"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,Bob,an apple,a blicket,,
13,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,Bob,an apple,a blicket,,
13,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,Bob,an apple,a blicket,,
14,value_financial,indirect,congruent,"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,Bob,an orange,a pineapple,,
14,value_financial,indirect,congruent,"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,Bob,an orange,a pineapple,,
14,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,Bob,an orange,a pineapple,,
14,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,Bob,an orange,a pineapple,,
15,value_financial,indirect,congruent,"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,Bob,an orange,a dax,,
15,value_financial,indirect,congruent,"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,Bob,an orange,a dax,,
15,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,Bob,an orange,a dax,,
15,value_financial,indirect,incongruent,"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,Bob,an orange,a dax,,
16,value_financial,indirect,congruent,"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,Bob,an orange,a blicket,,
16,value_financial,indirect,congruent,"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,Bob,an orange,a blicket,,
